Participant,Trial,Environment,Environment_Type,Chosen_Island,Probability,Random_Value,Reward,Score,Response_Time,Win-Stay,Lose-Shift,Exploration,Exploitation,ss1_score,ss1_group
FG001,151,1,High-Fast,1,60,0.3,1,1,5.72,0,0,0,0,0,low ss1
FG001,152,1,High-Fast,3,15,0.87,-1,0,3.43,0,0,1,0,0,low ss1
FG001,153,1,High-Fast,2,25,0.37,-1,-1,1.85,0,1,1,0,0,low ss1
FG001,154,1,High-Fast,1,60,0.02,1,0,0.78,0,1,1,0,0,low ss1
FG001,155,1,High-Fast,1,60,0.32,1,1,0.54,1,0,0,1,0,low ss1
FG001,156,1,High-Fast,1,60,0.92,-1,0,0.48,1,0,0,1,0,low ss1
FG001,157,1,High-Fast,2,25,0.18,1,1,1.16,0,1,1,0,0,low ss1
FG001,158,1,High-Fast,2,25,0.25,1,2,0.6,1,0,0,1,0,low ss1
FG001,159,1,High-Fast,2,25,0.95,-1,1,1.08,1,0,0,1,0,low ss1
FG001,160,1,High-Fast,3,15,0.85,-1,0,1.12,0,1,1,0,0,low ss1
FG001,161,1,High-Fast,1,25,0.9,-1,-1,0.76,0,1,1,0,0,low ss1
FG001,162,1,High-Fast,2,15,0.81,-1,-2,0.98,0,1,1,0,0,low ss1
FG001,163,1,High-Fast,3,60,0.16,1,-1,0.61,0,1,1,0,0,low ss1
FG001,164,1,High-Fast,3,60,0.6,-1,-2,1.36,1,0,0,1,0,low ss1
FG001,165,1,High-Fast,1,25,0.77,-1,-3,0.57,0,1,1,0,0,low ss1
FG001,166,1,High-Fast,2,15,0.21,-1,-4,1.02,0,1,1,0,0,low ss1
FG001,167,1,High-Fast,1,25,0.97,-1,-5,6.88,0,1,1,0,0,low ss1
FG001,168,1,High-Fast,3,60,0.43,1,-4,0.5,0,1,1,0,0,low ss1
FG001,169,1,High-Fast,2,15,0.18,-1,-5,0.79,0,0,1,0,0,low ss1
FG001,170,1,High-Fast,3,60,0.39,1,-4,0.7,0,1,1,0,0,low ss1
FG001,171,1,High-Fast,3,25,0.01,1,-3,0.38,1,0,0,1,0,low ss1
FG001,172,1,High-Fast,3,25,0.74,-1,-4,0.27,1,0,0,1,0,low ss1
FG001,173,1,High-Fast,1,15,0.78,-1,-5,0.65,0,1,1,0,0,low ss1
FG001,174,1,High-Fast,2,60,0.65,-1,-6,0.36,0,1,1,0,0,low ss1
FG001,175,1,High-Fast,2,60,0.54,1,-5,0.92,0,0,0,1,0,low ss1
FG001,176,1,High-Fast,2,60,0.31,1,-4,0.52,1,0,0,1,0,low ss1
FG001,177,1,High-Fast,2,60,0.67,-1,-5,0.43,1,0,0,1,0,low ss1
FG001,178,1,High-Fast,1,15,0.64,-1,-6,1.24,0,1,1,0,0,low ss1
FG001,179,1,High-Fast,1,15,0.06,1,-5,0.37,0,0,0,1,0,low ss1
FG001,180,1,High-Fast,1,15,0.29,-1,-6,0.42,1,0,0,1,0,low ss1
FG001,181,1,High-Fast,3,25,0.33,-1,-7,0.64,0,1,1,0,0,low ss1
FG001,182,1,High-Fast,2,15,1.0,-1,-8,2.38,0,1,1,0,0,low ss1
FG001,183,1,High-Fast,2,15,0.15,1,-7,0.77,0,0,0,1,0,low ss1
FG001,184,1,High-Fast,2,15,0.1,1,-6,0.47,1,0,0,1,0,low ss1
FG001,185,1,High-Fast,1,60,0.93,-1,-7,1.2,0,0,1,0,0,low ss1
FG001,186,1,High-Fast,3,25,0.54,-1,-8,0.62,0,1,1,0,0,low ss1
FG001,187,1,High-Fast,3,25,0.34,-1,-9,0.68,0,0,0,1,0,low ss1
FG001,188,1,High-Fast,3,25,0.96,-1,-10,0.46,0,0,0,1,0,low ss1
FG001,189,1,High-Fast,1,60,0.13,1,-9,0.52,0,1,1,0,0,low ss1
FG001,190,1,High-Fast,1,60,0.62,-1,-10,0.47,1,0,0,1,0,low ss1
FG001,191,1,High-Fast,2,25,0.27,-1,-11,1.19,0,1,1,0,0,low ss1
FG001,192,1,High-Fast,2,25,0.8,-1,-12,0.46,0,0,0,1,0,low ss1
FG001,193,1,High-Fast,2,25,0.07,1,-11,0.48,0,0,0,1,0,low ss1
FG001,194,1,High-Fast,2,25,0.33,-1,-12,1.71,1,0,0,1,0,low ss1
FG001,195,1,High-Fast,3,60,0.17,1,-11,1.37,0,1,1,0,0,low ss1
FG001,196,1,High-Fast,3,60,0.49,1,-10,0.65,1,0,0,1,0,low ss1
FG001,197,1,High-Fast,1,15,0.45,-1,-11,1.39,0,0,1,0,0,low ss1
FG001,198,1,High-Fast,2,25,0.47,-1,-12,0.71,0,1,1,0,0,low ss1
FG001,199,1,High-Fast,1,15,0.9,-1,-13,0.22,0,1,1,0,0,low ss1
FG001,200,1,High-Fast,1,15,0.07,1,-12,0.33,0,0,0,1,0,low ss1
FG001,1,2,Low-Slow,3,5,0.14,-1,-13,2.13,0,0,1,0,0,low ss1
FG001,2,2,Low-Slow,2,15,0.34,-1,-14,1.4,0,1,1,0,0,low ss1
FG001,3,2,Low-Slow,2,15,0.79,-1,-15,0.44,0,0,0,1,0,low ss1
FG001,4,2,Low-Slow,1,80,0.1,1,-14,0.55,0,1,1,0,0,low ss1
FG001,5,2,Low-Slow,1,80,0.35,1,-13,0.43,1,0,0,1,0,low ss1
FG001,6,2,Low-Slow,1,80,0.1,1,-12,0.41,1,0,0,1,0,low ss1
FG001,7,2,Low-Slow,3,5,0.65,-1,-13,1.16,0,0,1,0,0,low ss1
FG001,8,2,Low-Slow,2,15,0.34,-1,-14,0.68,0,1,1,0,0,low ss1
FG001,9,2,Low-Slow,2,15,0.52,-1,-15,1.54,0,0,0,1,0,low ss1
FG001,10,2,Low-Slow,3,5,0.93,-1,-16,1.36,0,1,1,0,0,low ss1
FG001,11,2,Low-Slow,3,5,0.24,-1,-17,1.3,0,0,0,1,0,low ss1
FG001,12,2,Low-Slow,3,5,0.0,1,-16,0.44,0,0,0,1,0,low ss1
FG001,13,2,Low-Slow,3,5,0.3,-1,-17,2.33,1,0,0,1,0,low ss1
FG001,14,2,Low-Slow,2,15,0.32,-1,-18,1.83,0,1,1,0,0,low ss1
FG001,15,2,Low-Slow,2,15,0.43,-1,-19,1.01,0,0,0,1,0,low ss1
FG001,16,2,Low-Slow,2,15,0.82,-1,-20,0.79,0,0,0,1,0,low ss1
FG001,17,2,Low-Slow,1,80,0.38,1,-19,0.53,0,1,1,0,0,low ss1
FG001,18,2,Low-Slow,1,80,0.82,-1,-20,0.46,1,0,0,1,0,low ss1
FG001,19,2,Low-Slow,3,5,0.53,-1,-21,0.63,0,1,1,0,0,low ss1
FG001,20,2,Low-Slow,2,15,0.55,-1,-22,0.36,0,1,1,0,0,low ss1
FG001,21,2,Low-Slow,2,15,0.53,-1,-23,0.64,0,0,0,1,0,low ss1
FG001,22,2,Low-Slow,3,5,0.04,1,-22,0.67,0,1,1,0,0,low ss1
FG001,23,2,Low-Slow,3,5,0.81,-1,-23,1.02,1,0,0,1,0,low ss1
FG001,24,2,Low-Slow,3,5,0.99,-1,-24,0.39,0,0,0,1,0,low ss1
FG001,25,2,Low-Slow,3,80,0.24,1,-23,0.29,0,0,0,1,0,low ss1
FG001,26,2,Low-Slow,1,15,0.49,-1,-24,0.83,0,0,1,0,0,low ss1
FG001,27,2,Low-Slow,1,15,0.02,1,-23,2.11,0,0,0,1,0,low ss1
FG001,28,2,Low-Slow,1,15,0.49,-1,-24,0.74,1,0,0,1,0,low ss1
FG001,29,2,Low-Slow,2,5,0.74,-1,-25,0.65,0,1,1,0,0,low ss1
FG001,30,2,Low-Slow,2,5,0.51,-1,-26,0.83,0,0,0,1,0,low ss1
FG001,31,2,Low-Slow,2,5,0.6,-1,-27,0.18,0,0,0,1,0,low ss1
FG001,32,2,Low-Slow,3,80,0.25,1,-26,0.3,0,1,1,0,0,low ss1
FG001,33,2,Low-Slow,3,80,0.66,1,-25,0.68,1,0,0,1,0,low ss1
FG001,34,2,Low-Slow,3,80,0.64,1,-24,0.31,1,0,0,1,0,low ss1
FG001,35,2,Low-Slow,3,80,0.71,1,-23,0.26,1,0,0,1,0,low ss1
FG001,36,2,Low-Slow,3,80,0.48,1,-22,0.19,1,0,0,1,0,low ss1
FG001,37,2,Low-Slow,3,80,0.65,1,-21,0.13,1,0,0,1,0,low ss1
FG001,38,2,Low-Slow,3,80,0.85,-1,-22,0.03,1,0,0,1,0,low ss1
FG001,39,2,Low-Slow,2,5,0.57,-1,-23,1.14,0,1,1,0,0,low ss1
FG001,40,2,Low-Slow,2,5,0.99,-1,-24,0.18,0,0,0,1,0,low ss1
FG001,41,2,Low-Slow,2,5,0.67,-1,-25,0.12,0,0,0,1,0,low ss1
FG001,42,2,Low-Slow,1,15,0.64,-1,-26,0.67,0,1,1,0,0,low ss1
FG001,43,2,Low-Slow,1,15,0.84,-1,-27,0.11,0,0,0,1,0,low ss1
FG001,44,2,Low-Slow,1,15,0.91,-1,-28,0.12,0,0,0,1,0,low ss1
FG001,45,2,Low-Slow,3,80,0.67,1,-27,1.88,0,1,1,0,0,low ss1
FG001,46,2,Low-Slow,3,80,0.78,1,-26,0.27,1,0,0,1,0,low ss1
FG001,47,2,Low-Slow,3,80,0.03,1,-25,0.29,1,0,0,1,0,low ss1
FG001,48,2,Low-Slow,3,80,0.9,-1,-26,0.51,1,0,0,1,0,low ss1
FG001,49,2,Low-Slow,2,5,0.04,1,-25,0.91,0,1,1,0,0,low ss1
FG001,50,2,Low-Slow,2,5,0.89,-1,-26,0.1,1,0,0,1,0,low ss1
FG001,101,3,High-Slow,3,15,0.56,-1,-27,1.95,0,1,1,0,0,low ss1
FG001,102,3,High-Slow,3,15,0.35,-1,-28,0.2,0,0,0,1,0,low ss1
FG001,103,3,High-Slow,2,25,0.39,-1,-29,0.87,0,1,1,0,0,low ss1
FG001,104,3,High-Slow,1,60,0.45,1,-28,0.21,0,1,1,0,0,low ss1
FG001,105,3,High-Slow,1,60,0.95,-1,-29,0.05,1,0,0,1,0,low ss1
FG001,106,3,High-Slow,2,25,0.61,-1,-30,0.26,0,1,1,0,0,low ss1
FG001,107,3,High-Slow,3,15,0.92,-1,-31,0.1,0,1,1,0,0,low ss1
FG001,108,3,High-Slow,1,60,0.9,-1,-32,0.27,0,1,1,0,0,low ss1
FG001,109,3,High-Slow,2,25,0.48,-1,-33,0.15,0,1,1,0,0,low ss1
FG001,110,3,High-Slow,3,15,0.75,-1,-34,0.13,0,1,1,0,0,low ss1
FG001,111,3,High-Slow,1,60,0.96,-1,-35,0.19,0,1,1,0,0,low ss1
FG001,112,3,High-Slow,2,25,0.54,-1,-36,0.06,0,1,1,0,0,low ss1
FG001,113,3,High-Slow,2,25,0.51,-1,-37,0.97,0,0,0,1,0,low ss1
FG001,114,3,High-Slow,2,25,0.22,1,-36,0.23,0,0,0,1,0,low ss1
FG001,115,3,High-Slow,2,25,0.3,-1,-37,0.02,1,0,0,1,0,low ss1
FG001,116,3,High-Slow,3,15,0.43,-1,-38,0.49,0,1,1,0,0,low ss1
FG001,117,3,High-Slow,1,60,0.2,1,-37,0.19,0,1,1,0,0,low ss1
FG001,118,3,High-Slow,1,60,0.87,-1,-38,0.5,1,0,0,1,0,low ss1
FG001,119,3,High-Slow,2,25,0.91,-1,-39,0.35,0,1,1,0,0,low ss1
FG001,120,3,High-Slow,3,15,0.03,1,-38,1.21,0,1,1,0,0,low ss1
FG001,121,3,High-Slow,1,60,0.86,-1,-39,0.65,0,0,1,0,0,low ss1
FG001,122,3,High-Slow,2,25,0.7,-1,-40,0.03,0,1,1,0,0,low ss1
FG001,123,3,High-Slow,3,15,0.55,-1,-41,0.22,0,1,1,0,0,low ss1
FG001,124,3,High-Slow,1,60,0.61,-1,-42,0.37,0,1,1,0,0,low ss1
FG001,125,3,High-Slow,2,25,0.22,1,-41,0.09,0,1,1,0,0,low ss1
FG001,126,3,High-Slow,3,25,0.07,1,-40,0.5,0,0,1,0,0,low ss1
FG001,127,3,High-Slow,1,15,0.17,-1,-41,0.77,0,0,1,0,0,low ss1
FG001,128,3,High-Slow,2,60,0.45,1,-40,0.35,0,1,1,0,0,low ss1
FG001,129,3,High-Slow,3,25,0.55,-1,-41,0.19,0,0,1,0,0,low ss1
FG001,130,3,High-Slow,1,15,0.84,-1,-42,0.17,0,1,1,0,0,low ss1
FG001,131,3,High-Slow,3,25,0.65,-1,-43,1.01,0,1,1,0,0,low ss1
FG001,132,3,High-Slow,2,60,0.01,1,-42,0.4,0,1,1,0,0,low ss1
FG001,133,3,High-Slow,1,15,0.31,-1,-43,0.99,0,0,1,0,0,low ss1
FG001,134,3,High-Slow,3,25,0.35,-1,-44,0.29,0,1,1,0,0,low ss1
FG001,135,3,High-Slow,2,60,0.89,-1,-45,0.05,0,1,1,0,0,low ss1
FG001,136,3,High-Slow,1,15,0.89,-1,-46,0.61,0,1,1,0,0,low ss1
FG001,137,3,High-Slow,3,25,0.07,1,-45,0.23,0,1,1,0,0,low ss1
FG001,138,3,High-Slow,1,15,0.24,-1,-46,1.39,0,0,1,0,0,low ss1
FG001,139,3,High-Slow,2,60,0.08,1,-45,0.3,0,1,1,0,0,low ss1
FG001,140,3,High-Slow,1,15,0.39,-1,-46,0.26,0,0,1,0,0,low ss1
FG001,141,3,High-Slow,2,60,0.58,1,-45,0.09,0,1,1,0,0,low ss1
FG001,142,3,High-Slow,3,25,0.25,1,-44,0.37,0,0,1,0,0,low ss1
FG001,143,3,High-Slow,1,15,0.7,-1,-45,0.46,0,0,1,0,0,low ss1
FG001,144,3,High-Slow,2,60,0.84,-1,-46,0.66,0,1,1,0,0,low ss1
FG001,145,3,High-Slow,3,25,0.56,-1,-47,0.72,0,1,1,0,0,low ss1
FG001,146,3,High-Slow,1,15,0.02,1,-46,0.33,0,1,1,0,0,low ss1
FG001,147,3,High-Slow,2,60,0.31,1,-45,0.1,0,0,1,0,0,low ss1
FG001,148,3,High-Slow,3,25,0.44,-1,-46,0.62,0,0,1,0,0,low ss1
FG001,149,3,High-Slow,1,15,0.48,-1,-47,0.4,0,1,1,0,0,low ss1
FG001,150,3,High-Slow,2,60,0.19,1,-46,0.27,0,1,1,0,0,low ss1
FG001,51,4,Low-Fast,1,80,0.11,1,-45,1.8,0,0,1,0,0,low ss1
FG001,52,4,Low-Fast,1,80,0.79,1,-44,1.49,1,0,0,1,0,low ss1
FG001,53,4,Low-Fast,1,80,0.36,1,-43,0.43,1,0,0,1,0,low ss1
FG001,54,4,Low-Fast,1,80,0.66,1,-42,0.16,1,0,0,1,0,low ss1
FG001,55,4,Low-Fast,1,80,0.02,1,-41,0.09,1,0,0,1,0,low ss1
FG001,56,4,Low-Fast,1,80,0.28,1,-40,0.1,1,0,0,1,0,low ss1
FG001,57,4,Low-Fast,1,80,0.27,1,-39,0.16,1,0,0,1,0,low ss1
FG001,58,4,Low-Fast,1,80,0.48,1,-38,0.11,1,0,0,1,0,low ss1
FG001,59,4,Low-Fast,1,80,0.28,1,-37,0.01,1,0,0,1,0,low ss1
FG001,60,4,Low-Fast,1,80,0.68,1,-36,0.05,1,0,0,1,0,low ss1
FG001,61,4,Low-Fast,1,15,0.07,1,-35,0.19,1,0,0,1,0,low ss1
FG001,62,4,Low-Fast,1,15,0.04,1,-34,0.11,1,0,0,1,0,low ss1
FG001,63,4,Low-Fast,1,15,0.2,-1,-35,0.04,1,0,0,1,0,low ss1
FG001,64,4,Low-Fast,3,80,0.29,1,-34,0.94,0,1,1,0,0,low ss1
FG001,65,4,Low-Fast,3,80,0.42,1,-33,0.33,1,0,0,1,0,low ss1
FG001,66,4,Low-Fast,3,80,0.57,1,-32,0.16,1,0,0,1,0,low ss1
FG001,67,4,Low-Fast,3,80,0.09,1,-31,0.13,1,0,0,1,0,low ss1
FG001,68,4,Low-Fast,3,80,0.54,1,-30,0.14,1,0,0,1,0,low ss1
FG001,69,4,Low-Fast,3,80,0.03,1,-29,0.14,1,0,0,1,0,low ss1
FG001,70,4,Low-Fast,3,80,0.63,1,-28,0.04,1,0,0,1,0,low ss1
FG001,71,4,Low-Fast,3,15,0.9,-1,-29,0.42,1,0,0,1,0,low ss1
FG001,72,4,Low-Fast,2,80,0.17,1,-28,0.21,0,1,1,0,0,low ss1
FG001,73,4,Low-Fast,2,80,0.56,1,-27,0.22,1,0,0,1,0,low ss1
FG001,74,4,Low-Fast,2,80,0.87,-1,-28,0.16,1,0,0,1,0,low ss1
FG001,75,4,Low-Fast,1,5,0.58,-1,-29,0.66,0,1,1,0,0,low ss1
FG001,76,4,Low-Fast,3,15,0.48,-1,-30,0.62,0,1,1,0,0,low ss1
FG001,77,4,Low-Fast,2,80,0.78,1,-29,0.05,0,1,1,0,0,low ss1
FG001,78,4,Low-Fast,2,80,0.02,1,-28,0.14,1,0,0,1,0,low ss1
FG001,79,4,Low-Fast,2,80,0.96,-1,-29,0.16,1,0,0,1,0,low ss1
FG001,80,4,Low-Fast,2,80,0.58,1,-28,0.96,0,0,0,1,0,low ss1
FG001,81,4,Low-Fast,2,5,0.67,-1,-29,0.18,1,0,0,1,0,low ss1
FG001,82,4,Low-Fast,1,80,0.78,1,-28,2.58,0,1,1,0,0,low ss1
FG001,83,4,Low-Fast,1,80,0.22,1,-27,0.03,1,0,0,1,0,low ss1
FG001,84,4,Low-Fast,1,80,0.6,1,-26,0.01,1,0,0,1,0,low ss1
FG001,85,4,Low-Fast,1,80,0.37,1,-25,0.26,1,0,0,1,0,low ss1
FG001,86,4,Low-Fast,1,80,0.13,1,-24,0.1,1,0,0,1,0,low ss1
FG001,87,4,Low-Fast,1,80,0.59,1,-23,0.07,1,0,0,1,0,low ss1
FG001,88,4,Low-Fast,1,80,0.1,1,-22,0.09,1,0,0,1,0,low ss1
FG001,89,4,Low-Fast,1,80,0.95,-1,-23,0.88,1,0,0,1,0,low ss1
FG001,90,4,Low-Fast,3,15,0.27,-1,-24,0.79,0,1,1,0,0,low ss1
FG001,91,4,Low-Fast,2,80,0.68,1,-23,0.28,0,1,1,0,0,low ss1
FG001,92,4,Low-Fast,2,80,0.09,1,-22,0.02,1,0,0,1,0,low ss1
FG001,93,4,Low-Fast,2,80,0.13,1,-21,0.09,1,0,0,1,0,low ss1
FG001,94,4,Low-Fast,2,80,0.95,-1,-22,0.11,1,0,0,1,0,low ss1
FG001,95,4,Low-Fast,3,5,0.65,-1,-23,0.51,0,1,1,0,0,low ss1
FG001,96,4,Low-Fast,1,15,0.19,-1,-24,0.02,0,1,1,0,0,low ss1
FG001,97,4,Low-Fast,2,80,0.45,1,-23,0.28,0,1,1,0,0,low ss1
FG001,98,4,Low-Fast,2,80,0.71,1,-22,0.52,1,0,0,1,0,low ss1
FG001,99,4,Low-Fast,2,80,0.92,-1,-23,0.07,1,0,0,1,0,low ss1
FG001,100,4,Low-Fast,2,80,0.79,1,-22,1.13,0,0,0,1,0,low ss1
FG002,101,1,High-Slow,2,25,0.19,1,1,7.65,0,0,0,0,8,high ss1
FG002,102,1,High-Slow,3,15,0.79,-1,0,6.47,0,0,1,0,8,high ss1
FG002,103,1,High-Slow,1,60,0.79,-1,-1,0.43,0,1,1,0,8,high ss1
FG002,104,1,High-Slow,1,60,0.83,-1,-2,0.7,0,0,0,1,8,high ss1
FG002,105,1,High-Slow,2,25,0.74,-1,-3,0.16,0,1,1,0,8,high ss1
FG002,106,1,High-Slow,1,60,0.69,-1,-4,0.73,0,1,1,0,8,high ss1
FG002,107,1,High-Slow,3,15,0.29,-1,-5,0.21,0,1,1,0,8,high ss1
FG002,108,1,High-Slow,2,25,0.45,-1,-6,0.09,0,1,1,0,8,high ss1
FG002,109,1,High-Slow,1,60,0.08,1,-5,0.03,0,1,1,0,8,high ss1
FG002,110,1,High-Slow,1,60,0.04,1,-4,0.76,1,0,0,1,8,high ss1
FG002,111,1,High-Slow,1,60,0.08,1,-3,0.3,1,0,0,1,8,high ss1
FG002,112,1,High-Slow,1,60,0.67,-1,-4,0.62,1,0,0,1,8,high ss1
FG002,113,1,High-Slow,1,60,0.49,1,-3,1.31,0,0,0,1,8,high ss1
FG002,114,1,High-Slow,1,60,0.21,1,-2,0.27,1,0,0,1,8,high ss1
FG002,115,1,High-Slow,1,60,0.55,1,-1,0.35,1,0,0,1,8,high ss1
FG002,116,1,High-Slow,1,60,0.72,-1,-2,0.43,1,0,0,1,8,high ss1
FG002,117,1,High-Slow,1,60,0.97,-1,-3,0.54,0,0,0,1,8,high ss1
FG002,118,1,High-Slow,1,60,0.93,-1,-4,0.33,0,0,0,1,8,high ss1
FG002,119,1,High-Slow,1,60,0.93,-1,-5,0.02,0,0,0,1,8,high ss1
FG002,120,1,High-Slow,2,25,0.54,-1,-6,0.26,0,1,1,0,8,high ss1
FG002,121,1,High-Slow,2,25,0.6,-1,-7,0.47,0,0,0,1,8,high ss1
FG002,122,1,High-Slow,1,60,0.51,1,-6,0.46,0,1,1,0,8,high ss1
FG002,123,1,High-Slow,1,60,0.85,-1,-7,0.19,1,0,0,1,8,high ss1
FG002,124,1,High-Slow,2,25,0.4,-1,-8,0.04,0,1,1,0,8,high ss1
FG002,125,1,High-Slow,2,25,0.94,-1,-9,0.3,0,0,0,1,8,high ss1
FG002,126,1,High-Slow,2,60,0.66,-1,-10,0.39,0,0,0,1,8,high ss1
FG002,127,1,High-Slow,2,60,0.15,1,-9,0.01,0,0,0,1,8,high ss1
FG002,128,1,High-Slow,2,60,0.39,1,-8,0.07,1,0,0,1,8,high ss1
FG002,129,1,High-Slow,2,60,0.73,-1,-9,0.03,1,0,0,1,8,high ss1
FG002,130,1,High-Slow,1,15,0.48,-1,-10,0.31,0,1,1,0,8,high ss1
FG002,131,1,High-Slow,3,25,0.07,1,-9,0.26,0,1,1,0,8,high ss1
FG002,132,1,High-Slow,3,25,0.25,-1,-10,0.01,1,0,0,1,8,high ss1
FG002,133,1,High-Slow,3,25,0.68,-1,-11,0.36,0,0,0,1,8,high ss1
FG002,134,1,High-Slow,3,25,0.33,-1,-12,0.48,0,0,0,1,8,high ss1
FG002,135,1,High-Slow,1,15,0.07,1,-11,0.73,0,1,1,0,8,high ss1
FG002,136,1,High-Slow,1,15,0.49,-1,-12,0.16,1,0,0,1,8,high ss1
FG002,137,1,High-Slow,1,15,0.16,-1,-13,0.21,0,0,0,1,8,high ss1
FG002,138,1,High-Slow,1,15,0.08,1,-12,0.34,0,0,0,1,8,high ss1
FG002,139,1,High-Slow,1,15,0.49,-1,-13,0.1,1,0,0,1,8,high ss1
FG002,140,1,High-Slow,2,60,0.42,1,-12,0.07,0,1,1,0,8,high ss1
FG002,141,1,High-Slow,2,60,0.95,-1,-13,0.11,1,0,0,1,8,high ss1
FG002,142,1,High-Slow,1,15,0.08,1,-12,0.61,0,1,1,0,8,high ss1
FG002,143,1,High-Slow,3,25,0.65,-1,-13,0.69,0,0,1,0,8,high ss1
FG002,144,1,High-Slow,1,15,0.23,-1,-14,0.01,0,1,1,0,8,high ss1
FG002,145,1,High-Slow,1,15,0.87,-1,-15,0.22,0,0,0,1,8,high ss1
FG002,146,1,High-Slow,2,60,0.49,1,-14,0.03,0,1,1,0,8,high ss1
FG002,147,1,High-Slow,2,60,0.14,1,-13,3.73,1,0,0,1,8,high ss1
FG002,148,1,High-Slow,2,60,0.95,-1,-14,1.08,1,0,0,1,8,high ss1
FG002,149,1,High-Slow,1,15,0.24,-1,-15,0.74,0,1,1,0,8,high ss1
FG002,150,1,High-Slow,3,25,0.9,-1,-16,0.24,0,1,1,0,8,high ss1
FG002,1,2,Low-Slow,1,80,0.68,1,-15,1.27,0,1,1,0,8,high ss1
FG002,2,2,Low-Slow,1,80,0.18,1,-14,0.17,1,0,0,1,8,high ss1
FG002,3,2,Low-Slow,1,80,0.55,1,-13,0.15,1,0,0,1,8,high ss1
FG002,4,2,Low-Slow,2,15,0.53,-1,-14,0.94,0,0,1,0,8,high ss1
FG002,5,2,Low-Slow,3,5,0.22,-1,-15,0.56,0,1,1,0,8,high ss1
FG002,6,2,Low-Slow,1,80,0.08,1,-14,0.13,0,1,1,0,8,high ss1
FG002,7,2,Low-Slow,1,80,0.24,1,-13,0.17,1,0,0,1,8,high ss1
FG002,8,2,Low-Slow,1,80,0.21,1,-12,0.21,1,0,0,1,8,high ss1
FG002,9,2,Low-Slow,1,80,0.55,1,-11,0.16,1,0,0,1,8,high ss1
FG002,10,2,Low-Slow,3,5,0.26,-1,-12,0.53,0,0,1,0,8,high ss1
FG002,11,2,Low-Slow,2,15,0.69,-1,-13,0.1,0,1,1,0,8,high ss1
FG002,12,2,Low-Slow,1,80,0.01,1,-12,0.35,0,1,1,0,8,high ss1
FG002,13,2,Low-Slow,1,80,0.31,1,-11,0.3,1,0,0,1,8,high ss1
FG002,14,2,Low-Slow,1,80,0.43,1,-10,0.26,1,0,0,1,8,high ss1
FG002,15,2,Low-Slow,3,5,0.88,-1,-11,0.25,0,0,1,0,8,high ss1
FG002,16,2,Low-Slow,2,15,0.3,-1,-12,0.14,0,1,1,0,8,high ss1
FG002,17,2,Low-Slow,1,80,0.23,1,-11,0.34,0,1,1,0,8,high ss1
FG002,18,2,Low-Slow,1,80,0.02,1,-10,0.27,1,0,0,1,8,high ss1
FG002,19,2,Low-Slow,1,80,0.57,1,-9,0.11,1,0,0,1,8,high ss1
FG002,20,2,Low-Slow,3,5,0.03,1,-8,0.92,0,0,1,0,8,high ss1
FG002,21,2,Low-Slow,3,5,0.37,-1,-9,1.25,1,0,0,1,8,high ss1
FG002,22,2,Low-Slow,2,15,0.52,-1,-10,0.15,0,1,1,0,8,high ss1
FG002,23,2,Low-Slow,1,80,0.52,1,-9,0.01,0,1,1,0,8,high ss1
FG002,24,2,Low-Slow,1,80,0.55,1,-8,0.14,1,0,0,1,8,high ss1
FG002,25,2,Low-Slow,1,15,0.43,-1,-9,0.3,1,0,0,1,8,high ss1
FG002,26,2,Low-Slow,3,80,0.73,1,-8,0.56,0,1,1,0,8,high ss1
FG002,27,2,Low-Slow,3,80,0.34,1,-7,0.18,1,0,0,1,8,high ss1
FG002,28,2,Low-Slow,3,80,0.07,1,-6,0.17,1,0,0,1,8,high ss1
FG002,29,2,Low-Slow,3,80,0.85,-1,-7,0.2,1,0,0,1,8,high ss1
FG002,30,2,Low-Slow,2,5,0.23,-1,-8,0.12,0,1,1,0,8,high ss1
FG002,31,2,Low-Slow,1,15,0.72,-1,-9,0.04,0,1,1,0,8,high ss1
FG002,32,2,Low-Slow,3,80,0.58,1,-8,0.01,0,1,1,0,8,high ss1
FG002,33,2,Low-Slow,3,80,0.69,1,-7,0.14,1,0,0,1,8,high ss1
FG002,34,2,Low-Slow,3,80,0.27,1,-6,0.2,1,0,0,1,8,high ss1
FG002,35,2,Low-Slow,1,15,0.58,-1,-7,0.33,0,0,1,0,8,high ss1
FG002,36,2,Low-Slow,2,5,0.72,-1,-8,0.05,0,1,1,0,8,high ss1
FG002,37,2,Low-Slow,3,80,0.19,1,-7,0.37,0,1,1,0,8,high ss1
FG002,38,2,Low-Slow,3,80,0.44,1,-6,0.2,1,0,0,1,8,high ss1
FG002,39,2,Low-Slow,3,80,0.21,1,-5,0.21,1,0,0,1,8,high ss1
FG002,40,2,Low-Slow,1,15,0.16,-1,-6,0.45,0,0,1,0,8,high ss1
FG002,41,2,Low-Slow,2,5,0.05,-1,-7,0.37,0,1,1,0,8,high ss1
FG002,42,2,Low-Slow,3,80,0.54,1,-6,0.7,0,1,1,0,8,high ss1
FG002,43,2,Low-Slow,3,80,0.4,1,-5,0.1,1,0,0,1,8,high ss1
FG002,44,2,Low-Slow,3,80,0.06,1,-4,0.14,1,0,0,1,8,high ss1
FG002,45,2,Low-Slow,3,80,0.36,1,-3,3.04,1,0,0,1,8,high ss1
FG002,46,2,Low-Slow,3,80,0.32,1,-2,0.41,1,0,0,1,8,high ss1
